* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
170	my	guess	is	they	a	n	v	p
170	my	name	.	-	a	n	.	-
170	myself	out	of	the	p	i	i	a
169	make	ends	meet	.	v	n	v	.
169	makes	it	more	likely	v	p	r	j
169	man	.	.	.	n	y	y	y
169	man	.	i	am	n	.	p	v
169	man	.	we	got	n	.	p	v
169	many	of	the	old	d	i	a	j
169	many	people	,	and	d	n	y	c
169	master	's	degree	.	n	g	n	y
169	may	be	helpful	to	v	v	j	t
169	may	be	more	effective	v	v	r	j
169	me	,	"	we	p	y	y	p
169	me	,	so	..	p	,	r	.
169	me	.	i	guess	p	y	p	v
169	me	feel	a	little	p	n	r	r
169	me	feel	good	.	p	n	j	y
169	me	now	to	talk	p	r	t	v
169	me	some	time	to	p	d	n	t
169	me	take	care	of	p	n	n	i
169	me	the	truth	,	p	a	n	,
169	me	think	about	it	p	n	i	p
169	millions	of	americans	who	m	i	n	p
169	mm-hmm	.	mm-hmm	.	u	.	u	.
169	money	.	-	you	n	.	-	p
169	month	,	and	the	n	y	c	a
169	more	.	if	you	r	y	c	p
169	more	and	more	,	d	c	r	y
169	more	dangerous	than	the	r	j	c	a
169	more	than	anything	.	d	c	p	y
169	more	than	he	could	d	c	p	v
169	more	than	that	,	r	c	d	y
169	more	than	that	to	d	c	d	t
169	most	of	the	players	d	i	a	n
169	much	as	50	percent	d	c	m	n
169	must	not	be	allowed	v	x	v	v
169	my	daughter	was	born	a	n	v	v
169	my	own	view	is	a	d	n	v
169	my	pleasure	.	-	a	n	.	-
169	my	shoulder	.	i	a	n	y	p
168	made	it	hard	for	v	p	r	i
168	make	a	full	recovery	v	a	j	n
168	making	a	name	for	v	a	n	i
168	man	.	look	at	n	.	v	i
168	man	.	they	're	n	.	p	v
168	many	times	as	you	d	n	c	p
168	many	years	.	"	d	n	y	y
168	market	in	the	world	n	i	a	n
168	may	be	useful	to	v	v	j	t
168	may	not	be	for	v	x	v	i
168	may	not	have	heard	v	x	v	v
168	maybe	you	'll	be	r	p	v	v
168	me	,	man	?	p	,	n	?
168	me	.	i	also	p	y	p	r
168	me	.	i	promise	p	.	p	v
168	me	.	who	's	p	.	p	v
168	me	?	-	well	p	?	-	r
168	me	go	.	-	p	n	.	-
168	me	so	much	about	p	r	d	i
168	me	that	it	would	p	c	p	v
168	me	to	be	.	p	t	v	y
168	mean	,	i	'd	v	y	p	v
168	mean	,	i	--	v	y	m	z
168	mean	,	they	were	v	,	p	v
168	millions	of	dollars	and	n	i	n	c
168	minutes	ago	.	-	n	r	.	-
168	months	ago	,	and	n	r	,	c
168	months	or	so	,	n	c	r	y
168	more	importantly	,	he	r	r	y	p
168	more	quickly	.	<p>	r	r	y	y
168	more	than	100	million	d	c	m	n
168	more	than	a	quarter	r	c	a	n
168	more	to	say	about	d	t	v	i
168	morning	.	@!zahn	:	n	y	z	y
168	most	of	the	media	d	i	a	n
168	most	of	what	they	d	i	d	p
168	most	of	you	have	d	i	p	v
168	mother	of	one	of	n	i	m	i
168	movement	,	and	the	n	y	c	a
168	moving	forward	.	<p>	v	r	y	y
168	mr	.	feeny	.	#	#	n	.
168	much	for	taking	the	d	i	v	a
168	much	to	be	done	d	t	v	v
168	my	back	to	the	a	n	i	a
168	my	gosh	,	i	a	u	y	p
168	my	guess	is	it	a	n	v	p
168	my	life	.	oh	a	n	.	u
167	made	a	decision	.	v	a	n	y
167	major	impact	on	the	j	n	i	a
167	major	stories	--	now	j	n	z	r
167	makes	me	wan	na	v	p	v	t
167	making	up	for	lost	v	r	i	j
167	many	men	and	women	d	n	c	n
167	many	things	that	i	d	n	c	p
167	may	be	at	the	v	v	i	a
167	may	want	to	take	v	v	t	v
167	me	,	i	need	p	,	p	v
167	me	.	he	is	p	y	p	v
167	me	.	q!	q!	#	#	q	q
167	me	.	we	were	p	y	p	v
167	me	that	one	of	p	c	m	i
167	me	that	we	're	p	c	p	v
167	means	that	we	are	v	c	p	v
167	millions	of	people	,	m	i	n	y
167	money	,	right	?	n	,	r	?
167	months	to	come	.	n	t	v	y
167	more	and	more	.	d	c	r	y
167	more	details	about	the	d	n	i	a
167	more	of	this	.	d	i	d	.
167	more	than	two	million	d	c	m	n
167	more	we	can	do	r	p	v	v
167	most	important	,	the	d	j	y	a
167	most	of	them	did	d	i	p	v
167	movement	in	the	united	n	i	a	n
167	much	more	difficult	than	r	r	j	c
167	my	body	.	"	a	n	y	y
167	my	eyes	.	"	a	n	.	"
167	my	husband	.	-	a	n	.	-
167	my	mother	.	"	a	n	.	"
167	my	theory	is	that	a	n	v	c
166	made	it	harder	for	v	p	j	i
166	majority	of	people	are	n	i	n	v
166	make	a	move	.	v	a	n	.
166	make	it	a	habit	v	p	a	n
166	make	of	this	?	v	i	d	?
166	make	sure	i	have	v	j	p	v
166	make	the	final	decision	v	a	j	n
166	making	their	way	to	v	a	n	i
166	man	?	oh	,	n	?	u	,
166	manner	in	which	he	n	i	d	p
166	matter	of	national	security	n	i	j	n
166	matter	what	they	do	d	d	p	v
166	maybe	he	's	a	r	p	v	a
166	me	,	i	ca	p	,	p	v
166	me	,	look	at	p	,	v	i
166	me	.	"	in	p	y	y	i
166	me	.	i	hope	p	.	p	v
166	me	.	right	.	p	.	r	.
166	me	?	let	's	p	?	v	v
166	me	a	drink	.	p	a	n	.
166	me	again	.	i	p	r	y	p
166	me	and	my	friend	p	c	a	n
166	me	in	the	kitchen	p	i	a	n
166	me	not	to	be	p	x	t	v
166	me	that	they	had	p	c	p	v
166	mean	,	i	really	v	y	p	r
166	mean	it	does	n't	v	p	v	x
166	memorial	sloan-kettering	cancer	center	n	n	n	n
166	metro	theaters	2	hours	n	n	m	n
166	middle	east	,	"	j	n	y	y
166	might	be	inclined	to	v	v	j	t
166	millions	of	dollars	for	n	i	n	c
166	minutes	of	your	time	n	i	a	n
166	money	's	worth	.	n	g	n	y
166	money	,	and	it	n	y	c	p
166	month	or	two	.	n	c	m	y
166	months	ago	,	but	n	r	y	c
166	more	than	$	100	d	c	m	m
166	more	than	10	million	d	c	m	m
166	more	than	they	are	d	c	p	v
166	morning	.	nice	to	n	y	j	t
166	most	people	i	know	d	n	p	v
166	moves	on	to	the	v	i	i	a
166	must	be	a	very	v	v	a	r
166	my	dad	is	a	a	n	v	a
166	my	fellow	americans	,	a	j	n	y
166	my	friends	,	"	a	n	y	y
166	my	hair	.	"	a	n	y	y
166	my	life	?	?	a	n	?	?
166	my	point	is	that	a	n	v	d
166	my	whole	life	is	a	j	n	v
165	m	)	if	you	z	)	c	p
165	m	)	that	's	z	)	d	v
165	made	every	effort	to	v	a	n	t
165	maintaining	the	status	quo	v	a	n	n
165	majority	of	americans	,	n	i	n	y
165	majority	of	cases	,	n	i	n	y
165	make	a	point	about	v	a	n	i
165	make	fun	of	him	v	n	i	p
165	make	it	.	"	v	p	.	"
165	make	it	a	priority	v	p	a	n
165	makes	it	that	much	v	p	r	d
165	makes	me	sad	.	v	p	j	y
165	man	,	i	just	n	,	p	r
165	many	,	many	other	d	y	d	j
165	marketing	efforts	.	find	n	n	.	v
165	matters	.	"	<p>	n	y	y	y
165	may	be	a	problem	v	v	a	n
165	may	be	easier	to	v	v	j	t
165	may	god	bless	you	n	n	v	p
165	may	have	been	a	v	v	v	r
165	maybe	a	little	more	r	r	r	r
165	me	"	and	"	p	y	c	y
165	me	,	"	what	p	y	y	d
165	me	,	she	's	p	,	p	v
165	me	.	she	said	p	y	p	v
165	me	.	we	are	p	.	p	v
165	me	?	-	do	p	?	-	v
165	me	a	call	,	p	a	n	,
165	me	and	that	i	p	c	c	p
165	me	down	.	i	p	r	y	p
165	me	neither	.	i	p	r	.	p
165	me	over	to	the	p	r	i	a
165	me	to	get	it	p	t	v	p
165	me	to	say	this	p	t	v	d
165	means	you	're	not	v	p	v	x
165	members	of	the	local	n	i	a	j
165	message	.	<p>	"	n	y	y	y
165	met	her	at	the	v	p	i	a
165	middle	of	a	war	n	i	a	n
165	might	even	be	able	v	r	v	j
165	miles	.	o'brien	:	n	y	n	y
165	miles	east	of	the	n	n	i	a
165	min	.	)	roger	n	y	y	n
165	missing	out	on	a	v	r	i	a
165	mitt	romney	,	who	n	n	y	p
165	money	.	i	'll	n	.	p	v
165	more	,	"	says	r	y	y	v
165	more	or	less	)	r	c	r	y
165	more	so	than	any	r	r	c	d
165	more	than	in	the	d	c	i	a
165	more	than	what	you	d	c	d	p
165	most	of	us	in	d	i	p	i
165	mother	and	a	father	n	c	a	n
165	much	.	it	was	d	y	p	v
165	much	more	quickly	than	r	r	r	c
165	must	have	been	so	v	v	v	r
165	my	call	.	i	a	n	y	p
165	my	life	.	my	a	n	.	a
165	my	mother	,	i	a	n	y	p
165	myself	.	and	i	p	.	c	p
164	made	into	a	movie	v	i	a	n
164	made	use	of	the	v	n	i	a
164	majority	of	the	students	n	i	a	n
164	make	a	statement	about	v	a	n	i
164	make	of	it	?	v	i	p	y
164	make	sure	i	get	v	j	p	v
164	make	you	happy	.	v	p	j	y
164	makes	the	case	for	v	a	n	i
164	makes	the	case	that	v	a	n	c
164	man	,	"	the	n	y	y	a
164	man	,	with	a	n	y	i	a
164	man	:	come	on	n	:	v	r
164	man	?	hey	,	n	?	u	,
164	master	's	degree	and	n	g	n	c
164	matter	of	days	.	n	i	n	y
164	may	be	wrong	,	v	v	j	y
164	may	help	explain	why	v	v	v	r
164	may	like	<h>	read	v	i	n	n
164	may	not	be	appropriate	v	x	v	j
164	may	not	like	the	v	x	v	a
164	maybe	i	'm	a	r	p	v	a
164	maybe	i	would	n't	r	p	v	x
164	me	!	get	off	p	!	v	i
164	me	,	please	.	p	y	r	y
164	me	,	they	're	p	y	p	v
164	me	.	"	that	p	.	"	d
164	me	.	-	so	#	#	-	r
164	me	.	-	they	#	#	-	p
164	me	.	i	need	p	y	p	v
164	me	?	i	need	p	?	p	v
164	me	as	a	child	p	i	a	n
164	me	know	if	there	p	v	c	e
164	me	sick	to	my	p	j	i	a
164	me	this	is	a	p	d	v	a
164	me	to	get	out	p	t	v	i
164	me	why	i	'm	p	r	p	v
164	mean	,	after	all	v	,	i	d
164	mean	,	how	many	v	,	r	d
164	mean	that	we	should	v	c	p	v
164	mid	'	80s	,	n	g	m	y
164	million	barrels	of	oil	n	n	i	n
164	minutes	.	oh	,	n	.	u	,
164	mm-hmm	.	that	's	u	.	d	v
164	mom	,	do	n't	n	,	v	x
164	mom	?	mom	?	n	?	n	?
164	money	,	but	the	n	y	c	a
164	more	than	$1	billion	d	c	m	n
164	morning	,	when	the	n	y	c	a
164	morning	.	q!	q!	n	y	q	q
164	most	of	what	he	d	i	d	p
164	mostly	because	of	the	r	i	i	a
164	much	better	job	of	r	j	n	i
164	much	more	on	the	d	d	i	a
164	my	dad	and	my	a	n	c	a
164	my	lord	.	"	a	n	y	y
164	my	mother	's	name	a	n	g	n
164	my	problem	.	i	a	n	.	p
163	mainly	due	to	the	r	i	i	a
163	make	a	commitment	to	v	a	n	i
163	make	it	.	we	v	p	.	p
163	make	money	.	<p>	v	n	y	y
163	make	sure	he	gets	v	j	p	v
163	make	the	best	use	v	a	j	n
163	make	up	for	all	v	r	i	d
163	man	shook	his	head	n	v	a	n
163	many	of	the	great	d	i	a	j
163	matter	what	you	say	d	d	p	v
163	matter	what	you	think	d	d	p	v
163	may	be	,	and	v	v	y	c
163	may	be	seen	in	v	v	v	i
163	may	have	been	involved	v	v	v	j
163	may	kiss	the	bride	v	v	a	n
163	may	not	be	necessary	v	x	v	j
163	may	not	be	quite	v	x	v	r
163	may	take	some	time	v	v	d	n
163	me	!	i	'm	p	y	p	v
163	me	,	i	want	p	,	p	v
163	me	,	there	are	p	y	e	v
163	me	.	good	.	p	.	j	.
163	me	a	picture	of	p	a	n	i
163	me	that	.	"	p	d	y	y
163	mean	,	when	i	v	,	c	p
163	mean	.	.	.	v	y	y	y
163	means	that	there	's	v	c	e	v
163	members	of	the	organization	n	i	a	n
163	men	and	women	(	n	c	n	y
163	months	ago	.	-	n	r	.	-
163	months	or	so	.	n	c	r	y
163	more	control	over	the	d	n	i	a
163	more	of	them	than	d	i	p	c
163	more	than	a	mere	d	c	a	j
163	morning	,	"	she	n	y	y	p
163	most	of	the	times	d	i	a	n
163	mother	's	death	.	n	g	n	y
163	much	time	and	energy	d	n	c	n
163	my	daughter	,	and	a	n	y	c
163	my	family	.	-	a	n	.	-
163	my	first	trip	to	a	m	n	i
163	my	head	.	and	a	n	.	c
163	my	life	.	so	a	n	y	r
163	my	mind	.	"	a	n	.	"
163	my	mother	,	and	a	n	,	c
163	my	time	.	<p>	a	n	y	y
163	my	way	to	work	a	n	t	v
162	m	)	this	is	z	)	d	v
162	ma'am	.	thank	you	n	.	v	p
162	made	up	for	the	v	r	i	a
162	make	it	out	to	v	p	r	t
162	make	me	happy	.	v	p	j	.
162	make	sure	i	did	v	j	p	v
162	make	sure	we	are	v	j	p	v
162	make	up	the	majority	v	r	a	n
162	man	,	she	's	n	,	p	v
162	man	.	do	you	n	.	v	p
162	man	who	would	be	n	p	v	v
162	mass	of	the	sun	n	i	a	n
162	may	not	be	ready	v	x	v	j
162	me	.	"	there	p	y	y	e
162	me	.	-	(	#	#	-	(
162	me	.	i	see	p	.	p	v
162	me	.	yes	,	p	y	u	y
162	me	just	say	,	p	r	v	,
162	me	to	become	a	p	t	v	a
162	me	to	get	back	p	t	v	r
162	me	up	with	a	p	r	i	a
162	mean	,	you	just	v	,	p	r
162	mean	..	i	mean	v	.	p	v
162	means	it	's	time	v	p	v	n
162	meet	you	,	"	v	p	y	y
162	members	of	the	congregation	n	i	a	n
162	middle	of	the	city	n	i	a	n
162	mm-hmm	.	it	's	u	.	p	v
162	moment	in	the	history	n	i	a	n
162	money	?	"	<p>	n	y	y	y
162	money	in	your	pocket	n	i	a	n
162	more	important	for	the	r	j	i	a
162	more	in	the	future	r	i	a	n
162	more	often	than	the	r	r	c	a
162	more	than	the	usual	d	c	a	j
162	morning	.	you	're	n	.	p	v
162	most	in	the	world	r	i	a	n
162	most	of	the	attention	d	i	a	n
162	moved	on	.	<p>	v	r	y	y
162	mr	brinkley	:	i	n	n	y	p
162	mr	will	:	the	n	n	y	a
162	my	body	,	and	a	n	y	c
162	my	car	,	and	a	n	y	c
162	my	entire	life	,	a	j	n	,
162	my	friend	.	he	a	n	.	p
162	my	life	.	he	a	n	.	p
162	my	mother	had	been	a	n	v	v
162	my	own	.	you	a	d	.	p
162	my	own	life	.	a	d	n	.
162	my	stomach	.	i	a	n	y	p
161	make	a	point	,	v	a	n	y
161	make	better	use	of	v	j	n	i
161	make	myself	clear	?	v	p	j	?
161	make	sure	to	keep	v	j	t	v
161	makes	me	sick	.	v	p	j	.
161	man	.	-	that	n	.	-	d
161	man	.	what	do	n	.	d	v
161	many	people	are	going	d	n	v	v
161	many	to	be	the	d	t	v	a
161	may	have	a	point	v	v	a	n
161	may	have	been	too	v	v	v	r
161	me	!	<p>	i	p	y	y	p
161	me	?	you	have	p	?	p	v
161	me	a	reason	to	p	a	n	t
161	me	and	let	me	p	c	v	p
161	me	how	to	make	p	r	t	v
161	me	in	any	way	p	i	d	n
161	me	know	if	i	p	v	c	p
161	me	not	to	worry	p	x	t	v
161	me	off	my	feet	p	i	a	n
161	me	that	i	can	p	c	p	v
161	me	that	she	's	p	c	p	v
161	mean	,	after	all	v	y	i	d
161	mean	,	he	has	v	y	p	v
161	mental	health	services	,	j	n	n	y
161	might	be	of	interest	v	v	i	n
161	millions	of	dollars	to	m	i	n	i
161	millions	of	dollars	to	n	i	n	i
161	mistakes	of	the	past	n	i	a	n
161	mom	,	i	do	n	,	p	v
161	month	's	worth	of	n	g	n	i
161	more	than	enough	.	d	c	r	y
161	more	than	half	an	d	c	d	a
161	more	than	they	can	d	c	p	v
161	most	of	which	is	d	i	d	v
161	moved	closer	to	the	v	r	i	a
161	movement	.	<p>	the	n	y	y	a
161	much	as	they	did	d	c	p	v
161	much	better	chance	of	r	j	n	i
161	much	faster	than	the	r	r	c	a
161	much	i	want	to	d	p	v	t
161	much	more	about	the	d	d	i	a
161	must	be	careful	not	v	v	j	x
161	my	experience	has	been	a	n	v	v
161	my	gosh	.	-	a	u	.	-
161	my	hand	.	-	a	n	.	-
161	my	head	.	#	a	n	.	f
161	my	life	to	be	a	n	t	v
161	myself	.	i	've	p	y	p	v
160	m	)	i	know	z	)	p	v
160	mad	at	me	.	j	i	p	y
160	major	players	in	the	j	n	i	a
160	make	a	transparent	background/selection	v	a	j	n
160	make	sure	everything	's	v	j	p	v
160	make	sure	that	everybody	v	j	c	p
160	make	too	much	of	v	r	d	i
160	many	others	in	the	d	n	i	a
160	me	,	"	and	p	,	"	c
160	me	,	and	for	p	y	c	i
160	me	,	gim	me	p	,	v	p
160	me	,	it	is	p	,	p	v
160	me	.	"	what	p	.	"	d
160	me	in	.	"	p	r	y	y
160	me	just	give	you	p	r	v	p
160	me	over	the	phone	p	i	a	n
160	me	to	see	how	p	t	v	r
160	me	to	see	if	p	t	v	c
160	me	to	tell	me	p	t	v	p
160	mean	..	it	's	v	.	p	v
160	meet	you	.	"	v	p	.	"
160	met	the	criteria	for	v	a	n	i
160	million	in	the	first	m	i	a	m
160	millions	of	dollars	,	n	i	n	y
160	moment	,	and	i	n	y	c	p
160	moment	,	it	's	n	y	p	v
160	more	,	no	less	r	y	a	r
160	more	complicated	than	the	r	j	c	a
160	more	efficient	.	<p>	r	j	y	y
160	more	interested	in	what	r	j	i	d
160	more	than	i	have	d	c	p	v
160	more	than	most	people	d	c	d	n
160	much	as	possible	and	d	c	j	c
160	much	as	they	could	d	c	p	v
160	must	have	been	.	v	v	v	y
160	my	end	of	the	a	n	i	a
160	my	grandmother	's	house	a	n	g	n
160	my	kids	.	i	a	n	.	p
160	my	mother	's	face	a	n	g	n
160	my	mother	and	her	a	n	c	a
160	my	way	out	.	a	n	r	.
160	my	wife	,	and	a	n	,	c
160	my	wife	,	i	a	n	y	p
160	my	wife	and	children	a	n	c	n
160	myself	,	"	i	p	y	y	p
160	myself	to	be	a	p	t	v	a
159	made	their	way	through	v	a	n	i
159	make	a	point	to	v	a	n	t
159	make	some	of	the	v	d	i	a
159	makes	sense	.	"	v	n	y	y
159	man	!	it	's	n	!	p	v
159	man	,	there	's	n	,	e	v
159	man	.	#	"	n	.	f	"
159	man	.	this	is	n	y	d	v
159	man	who	had	a	n	p	v	a
159	may	be	one	reason	v	v	m	n
159	maybe	it	's	better	r	p	v	j
159	maybe	next	time	.	r	m	n	.
159	me	.	<p>	there	p	y	y	e
159	me	.	all	i	p	.	d	p
159	me	.	we	can	p	.	p	v
159	me	now	.	i	p	r	y	p
159	me	one	second	.	p	m	n	.
159	me	to	say	something	p	t	v	p
159	me	to	see	you	p	t	v	p
159	me	what	you	've	p	d	p	v
159	mean	,	we	are	v	y	p	v
159	mean	.	"	#	v	.	"	f
159	meet	you	.	and	v	p	.	c
159	members	of	the	opposite	n	i	a	j
159	middle	east	.	and	j	n	y	c
159	might	be	forced	to	v	v	v	t
159	might	want	to	have	v	v	t	v
159	million	over	the	next	m	i	a	m
159	millions	of	dollars	and	m	i	n	c
159	mm-hm	.	al	roker	n	.	n	n
159	more	,	and	i	r	y	c	p
159	more	.	this	is	r	y	d	v
159	more	information	or	to	d	n	c	t
159	more	pressure	on	the	d	n	i	a
159	more	so	than	in	r	r	c	i
159	more	work	to	do	r	v	t	v
159	mr	.	monk	.	#	#	n	.
159	mr	.	worf	,	#	#	n	,
159	much	longer	.	<p>	r	r	y	y
159	much	more	of	the	d	d	i	a
159	my	first	day	of	a	m	n	i
159	my	god	!	my	a	n	!	a
159	my	head	.	you	a	n	.	p
159	my	heart	to	see	a	n	t	v
159	my	mother	's	voice	a	n	g	n
159	my	own	business	.	a	d	n	.
159	my	whole	life	and	a	j	n	c
158	magazine	.	<p>	q!	n	y	y	q
158	make	it	up	.	v	p	r	y
158	make	sense	of	their	v	n	i	a
158	man	.	-	it	n	.	-	p
158	many	cases	,	they	d	n	y	p
158	map	of	the	united	n	i	a	n
158	match	made	in	heaven	n	v	i	n
158	may	be	expected	to	v	v	v	t
158	may	be	more	difficult	v	v	r	j
158	may	be	the	key	v	v	a	n
158	may	not	be	perfect	v	x	v	j
158	me	.	at	the	p	y	i	a
158	me	.	how	did	p	.	r	v
158	me	.	i	hate	p	.	p	v
158	me	because	of	my	p	i	i	a
158	me	by	the	hand	p	i	a	n
158	me	is	that	you	p	v	c	p
158	me	now	.	you	p	r	.	p
158	me	that	he	'd	p	c	p	v
158	me	to	come	up	p	t	v	r
158	me	to	introduce	myself	p	t	v	p
158	me	want	to	go	p	v	t	v
158	mean	,	there	were	v	y	e	v
158	mean	that	they	're	v	c	p	v
158	meant	to	be	,	v	t	v	,
158	mental	health	,	and	j	n	y	c
158	mental	illness	.	<p>	j	n	y	y
158	middle	east	.	i	j	n	y	p
158	mile	down	the	road	n	i	a	n
158	mind	's	eye	.	n	g	n	y
158	minutes	total	time	:	n	j	n	y
158	moment	.	it	was	n	y	p	v
158	more	and	more	i	r	c	r	p
158	more	complete	picture	of	r	j	n	i
158	more	important	is	the	r	j	v	a
158	more	money	,	and	d	n	y	c
158	more	money	into	the	d	n	i	a
158	more	of	your	calls	d	i	a	n
158	mouth	.	"	<p>	n	y	y	y
158	move	forward	.	"	v	r	y	y
158	mr	.	president	?	#	#	n	?
158	much	.	i	do	d	y	p	v
158	much	more	likely	than	r	r	j	c
158	my	best	friends	.	a	j	n	.
158	my	father	,	a	a	n	y	a
158	my	friends	.	-	a	n	.	-
158	my	place	in	the	a	n	i	a
158	my	son	was	born	a	n	v	v
157	madera	(	415	)	n	y	m	y
157	maggie	.	@!maggie-rodriguez	:	n	y	z	y
157	make	a	better	life	v	a	j	n
157	make	a	difference	if	v	a	n	c
157	make	more	money	,	v	d	n	y
157	make	sure	she	gets	v	j	p	v
157	man	:	oh	,	n	:	u	,
157	man	in	a	white	n	i	a	j
157	man	on	tv	:	n	i	n	:
157	many	of	the	others	d	i	a	n
157	many	ways	.	<p>	d	n	y	y
157	master	's	degree	or	n	g	n	c
157	matter	to	me	.	v	i	p	.
157	matter	what	.	"	d	d	y	y
157	may	just	be	a	v	r	v	a
157	maybe	.	"	"	r	y	y	y
157	maybe	it	is	a	r	p	v	a
157	maybe	we	'll	have	r	p	v	v
157	me	,	dr	.	p	,	#	#
157	me	,	i	want	p	y	p	v
157	me	.	-	thank	#	#	-	v
157	me	.	i	went	p	y	p	v
157	me	.	it	does	p	.	p	v
157	me	alone	.	"	p	j	y	y
157	me	do	that	.	p	v	d	.
157	me	if	it	's	p	c	p	v
157	me	realize	that	i	p	v	c	p
157	me	up	at	night	p	r	i	n
157	mean	,	he	is	v	y	p	v
157	mean	,	how	many	v	y	r	d
157	mean	,	if	it	v	y	c	p
157	mean	,	obviously	,	v	,	r	,
157	men	and	women	will	n	c	n	v
157	mexico	.	<p>	the	n	y	y	a
157	michel	mcqueen	:	(	n	n	y	y
157	michigan	in	ann	arbor	n	i	n	n
157	minutes	,	"	he	n	y	y	p
157	money	.	no	,	n	.	u	,
157	month	,	according	to	n	y	i	i
157	months	.	it	's	n	.	p	v
157	more	.	.	.	r	y	y	y
157	more	information	,	visit	d	n	,	v
157	more	time	to	get	d	n	t	v
157	mother	.	well	,	n	.	r	,
157	movie	of	the	year	n	i	a	n
157	moving	in	the	direction	v	i	a	n
157	mr	.	matthews	.	#	#	n	.
157	mr	brinkley	:	coming	n	n	y	v
157	my	belief	is	that	a	n	v	c
157	my	god	!	"	a	n	!	"
157	my	god	!	look	a	n	!	v
157	my	god	.	so	a	n	.	r
157	my	life	with	you	a	n	i	p
157	my	own	eyes	.	a	d	n	y
157	my	point	is	this	a	n	v	d
156	made	me	wonder	if	v	p	n	c
156	make	a	whole	lot	v	a	j	n
156	make	it	out	to	v	p	r	i
156	make	me	laugh	.	v	p	n	y
156	make	the	cut	.	v	a	n	y
156	makes	8	servings	.	v	m	n	y
156	man	,	i	know	n	,	p	v
156	man	in	my	life	n	i	a	n
156	man	in	the	moon	n	i	a	n
156	many	of	america	's	d	i	n	g
156	many	of	these	same	d	i	d	d
156	many	of	us	,	d	i	p	,
156	market	,	"	said	n	y	y	v
156	mary	tyler	moore	show	n	n	n	n
156	maybe	you	ca	n't	r	p	v	x
156	mcfadden	:	(	voice-over	n	y	y	n
156	me	,	of	course	p	,	r	r
156	me	,	tell	me	p	,	v	p
156	me	.	when	you	p	.	c	p
156	me	?	-	we	p	?	-	p
156	me	?	i	can	p	?	p	v
156	me	a	heart	attack	p	a	n	n
156	me	a	story	about	p	a	n	i
156	me	and	i	am	p	c	p	v
156	me	off	at	the	p	r	i	a
156	me	that	you	've	p	c	p	v
156	me	that	you	would	p	c	p	v
156	me	this	morning	.	p	d	n	.
156	me	to	take	my	p	t	v	a
156	mean	,	is	that	v	y	v	d
156	mean	,	like	,	v	y	r	y
156	mean	,	this	was	v	,	d	v
156	mean	anything	to	you	j	p	i	p
156	mean	to	hurt	you	v	t	v	p
156	medical	school	.	<p>	j	n	y	y
156	members	of	my	family	n	i	a	n
156	middle	of	one	of	n	i	m	i
156	midst	of	all	this	n	i	d	d
156	million	,	according	to	n	y	i	i
156	millions	upon	millions	of	n	i	n	i
156	mind	of	its	own	n	i	a	d
156	mine	.	"	"	p	y	y	y
156	minute	or	so	,	n	c	r	y
156	missed	an	opportunity	to	v	a	n	t
156	moment	in	my	life	n	i	a	n
156	money	.	"	the	n	y	y	a
156	more	"	hot	topics	r	"	j	n
156	more	difficult	to	find	r	j	t	v
156	more	of	an	effort	d	i	a	n
156	more	than	an	hour	r	c	a	n
156	more	than	they	did	d	c	p	v
156	morning	,	everybody	.	n	,	p	.
156	morning	,	paula	.	n	y	n	y
156	morning	.	-	you	n	.	-	p
156	most	notably	,	the	r	r	y	a
156	most	of	which	have	d	i	d	v
156	most	of	whom	have	d	i	p	v
156	most	people	who	have	d	n	p	v
156	must	decide	whether	to	v	v	c	t
156	my	father	.	"	a	n	.	"
156	my	god	.	and	a	n	.	c
156	my	life	on	the	a	n	i	a
155	made	an	impression	on	v	a	n	i
155	made	eye	contact	with	v	n	n	i
155	made	fun	of	me	v	n	i	p
155	made	it	up	.	v	p	r	y
155	major	league	baseball	.	n	n	n	y
155	make	a	decision	that	v	a	n	c
155	make	it	to	a	v	p	i	a
155	make	sure	that	my	v	j	c	a
155	makes	sense	.	i	v	n	.	p
155	man	.	hey	.	n	.	u	.
155	man	.	it	is	n	y	p	v
155	man	.	let	me	n	.	v	p
155	man	.	okay	.	n	.	r	.
155	man	in	a	suit	n	i	a	n
155	may	be	necessary	for	v	v	j	i
155	me	,	"	"	p	y	y	y
155	me	,	baby	?	p	,	n	?
155	me	,	because	it	p	y	c	p
155	me	.	but	you	p	y	c	p
155	me	.	on	the	p	y	i	a
155	me	.	you	can	p	y	p	v
155	me	a	second	chance	p	a	m	n
155	me	off	.	"	p	r	y	y
155	me	right	now	,	p	r	r	y
155	me	to	call	him	p	t	v	p
155	me	to	come	and	p	t	v	c
155	mean	,	the	guy	v	,	a	n
155	mean	he	's	not	v	p	v	x
155	media	.	"	<p>	n	y	y	y
155	medium	,	provided	the	n	y	c	a
155	might	as	well	start	v	r	r	v
155	minutes	,	okay	?	n	,	r	?
155	minutes	.	let	cool	n	y	v	j
